electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
FidT10	RPA	TMS_V3 	67.968	-1.611	-27.346	0.955	-0.215	-0.204	0.109	-0.385	0.916	-0.276	-0.897	-0.344
Gnd	EEG	TMS_V3 	10.781	105.199	38.654	-0.812	0.220	-0.541	-0.583	-0.250	0.773	0.035	0.943	0.331
3	EEG	TMS_V3 	7.968	87.536	67.372	-0.300	0.685	-0.664	-0.954	-0.196	0.228	0.026	0.701	0.712
2	EEG	TMS_V3 	7.968	60.349	89.854	-0.506	0.711	-0.488	-0.863	-0.419	0.283	-0.003	0.564	0.826
32	EEG	TMS_V3 	3.281	37.849	101.511	-0.800	0.554	-0.233	-0.601	-0.730	0.325	0.010	0.400	0.916
24	EEG	TMS_V3 	7.968	4.099	110.135	-0.395	0.919	0.002	-0.919	-0.395	0.005	0.005	0.000	1.000
21	EEG	TMS_V3 	0.468	-23.089	108.201	-0.656	0.749	0.094	-0.755	-0.648	-0.103	-0.016	-0.138	0.990
13	EEG	TMS_V3 	-7.032	-51.633	92.654	-0.036	0.693	0.720	-0.999	-0.027	-0.023	0.003	-0.721	0.693
16	EEG	TMS_V3 	-5.157	-69.905	65.654	0.565	0.276	0.777	-0.820	0.288	0.494	-0.087	-0.917	0.389
17	EEG	TMS_V3 	-7.969	-76.526	37.018	0.203	0.193	0.960	-0.979	0.046	0.197	-0.006	-0.980	0.198
4	EEG	TMS_V3 	-16.875	66.911	81.654	-0.705	0.436	-0.559	-0.656	-0.701	0.280	-0.270	0.564	0.780
7	EEG	TMS_V3 	-19.219	44.411	95.101	-0.708	0.496	-0.502	-0.625	-0.771	0.120	-0.328	0.399	0.856
8	EEG	TMS_V3 	-25.782	13.474	105.511	-0.541	0.749	-0.382	-0.779	-0.618	-0.108	-0.317	0.239	0.918
12	EEG	TMS_V3 	-31.407	-18.401	106.399	-0.721	0.682	-0.120	-0.648	-0.725	-0.233	-0.246	-0.091	0.965
12	EEG	TMS_V3 	-33.282	-48.401	91.154	0.358	0.494	0.792	-0.873	0.479	0.095	-0.333	-0.726	0.602
1	EEG	TMS_V3 	-19.219	101.759	35.654	-0.837	-0.147	-0.528	-0.427	-0.429	0.796	-0.343	0.891	0.296
2	EEG	TMS_V3 	-23.907	84.724	60.260	-0.797	0.079	-0.599	-0.483	-0.679	0.553	-0.363	0.730	0.579
3	EEG	TMS_V3 	-40.401	60.349	72.654	-0.372	0.493	-0.787	-0.707	-0.700	-0.104	-0.602	0.517	0.608
7	EEG	TMS_V3 	-50.014	41.599	78.654	-0.604	0.200	-0.771	-0.490	-0.856	0.162	-0.628	0.476	0.616
8	EEG	TMS_V3 	-58.728	17.224	85.654	-0.670	0.185	-0.719	-0.343	-0.936	0.079	-0.658	0.299	0.691
11	EEG	TMS_V3 	-63.306	-15.589	85.654	0.339	-0.934	0.112	0.573	0.300	0.763	-0.746	-0.194	0.637
14	EEG	TMS_V3 	-57.657	-41.127	76.654	-0.259	-0.490	-0.832	0.705	-0.685	0.183	-0.660	-0.539	0.523
15	EEG	TMS_V3 	-39.844	-63.068	64.654	0.077	0.338	0.938	-0.908	0.412	-0.074	-0.411	-0.846	0.339
16	EEG	TMS_V3 	-31.407	-72.701	38.654	0.046	0.030	0.998	-0.955	0.293	0.035	-0.292	-0.956	0.042
1	EEG	TMS_V3 	-38.739	94.099	26.654	-0.721	-0.232	-0.653	-0.464	-0.539	0.703	-0.515	0.810	0.281
5	EEG	TMS_V3 	-52.474	70.661	48.654	-0.705	-0.344	-0.620	-0.216	-0.729	0.649	-0.676	0.591	0.440
6	EEG	TMS_V3 	-66.094	49.099	53.284	-0.654	-0.291	-0.698	-0.212	-0.815	0.539	-0.726	0.501	0.472
9	EEG	TMS_V3 	-78.282	21.911	55.854	-0.406	-0.194	-0.893	-0.136	-0.953	0.269	-0.904	0.231	0.361
11	EEG	TMS_V3 	-77.723	-9.964	56.654	0.008	-0.650	-0.760	0.235	-0.737	0.633	-0.972	-0.184	0.146
13	EEG	TMS_V3 	-69.171	-36.214	56.654	0.367	-0.839	-0.401	0.331	-0.285	0.899	-0.869	-0.463	0.173
4	EEG	TMS_V3 	-59.532	73.328	26.654	-0.046	0.152	-0.987	-0.606	-0.790	-0.093	-0.794	0.594	0.129
6	EEG	TMS_V3 	-74.649	48.161	20.654	-0.209	-0.345	-0.915	-0.358	-0.844	0.400	-0.910	0.411	0.053
5	EEG	TMS_V3 	-75.133	36.911	-16.346	0.118	-0.720	-0.684	0.044	-0.684	0.728	-0.992	-0.116	-0.048
9	EEG	TMS_V3 	-82.877	21.911	25.654	-0.190	-0.742	-0.643	-0.119	-0.633	0.765	-0.975	0.222	0.032
10	EEG	TMS_V3 	-82.626	-7.151	29.654	0.240	-0.971	0.008	0.083	0.029	0.996	-0.967	-0.239	0.087
10	EEG	TMS_V3 	-75.469	-7.151	-9.437	-0.060	-0.694	-0.718	-0.973	-0.118	0.196	-0.221	0.710	-0.668
15	EEG	TMS_V3 	-72.252	-34.339	32.654	0.320	-0.947	-0.038	0.093	-0.008	0.996	-0.943	-0.323	0.086
14	EEG	TMS_V3 	-56.719	-58.495	36.654	0.798	-0.603	-0.011	0.016	0.002	1.000	-0.603	-0.798	0.012
31	EEG	TMS_V3 	28.593	59.411	85.440	-0.902	0.293	0.317	-0.072	-0.826	0.560	0.426	0.482	0.766
29	EEG	TMS_V3 	35.156	37.849	93.632	-0.559	0.823	-0.098	-0.726	-0.429	0.537	0.400	0.371	0.838
25	EEG	TMS_V3 	34.218	8.201	104.654	-0.079	0.987	-0.143	-0.936	-0.024	0.351	0.343	0.161	0.926
23	EEG	TMS_V3 	28.593	-20.276	107.346	-0.406	0.909	0.098	-0.897	-0.416	0.145	0.173	-0.029	0.985
20	EEG	TMS_V3 	21.093	-54.964	88.233	-0.013	0.675	0.738	-0.995	-0.082	0.058	0.100	-0.733	0.673
32	EEG	TMS_V3 	37.031	96.153	40.654	-0.880	0.463	0.103	-0.097	-0.387	0.917	0.464	0.797	0.386
30	EEG	TMS_V3 	42.656	80.822	58.654	-0.519	0.725	-0.453	-0.687	-0.038	0.726	0.509	0.688	0.517
30	EEG	TMS_V3 	52.968	55.661	72.209	-0.633	0.759	0.154	-0.424	-0.507	0.750	0.648	0.409	0.643
26	EEG	TMS_V3 	61.406	28.474	80.265	-0.353	0.923	-0.154	-0.653	-0.125	0.747	0.670	0.364	0.647
25	EEG	TMS_V3 	63.281	-0.321	88.654	-0.074	0.991	-0.114	-0.744	0.022	0.668	0.664	0.135	0.735
22	EEG	TMS_V3 	59.531	-28.714	87.091	-0.286	0.538	0.793	-0.664	-0.708	0.241	0.691	-0.457	0.560
19	EEG	TMS_V3 	40.210	-56.839	76.654	-0.195	0.486	0.852	-0.880	-0.470	0.066	0.432	-0.737	0.520
17	EEG	TMS_V3 	16.406	-71.538	56.654	0.565	0.290	0.773	-0.823	0.127	0.554	0.063	-0.949	0.310
18	EEG	TMS_V3 	10.781	-76.933	31.654	0.874	0.056	0.482	-0.483	-0.002	0.876	0.050	-0.998	0.025
29	EEG	TMS_V3 	63.281	74.411	29.279	-0.566	0.792	0.230	0.014	-0.270	0.963	0.824	0.548	0.142
28	EEG	TMS_V3 	68.906	50.036	54.765	-0.384	0.915	-0.128	-0.489	-0.084	0.868	0.783	0.395	0.480
28	EEG	TMS_V3 	79.218	24.411	58.654	-0.464	0.777	0.426	-0.205	-0.562	0.801	0.862	0.285	0.420
24	EEG	TMS_V3 	82.012	-2.464	59.654	-0.164	0.416	0.894	-0.162	-0.906	0.392	0.973	-0.081	0.217
